Startup,Industry,Funding_Million_USD,City,Country,Founded
TechNova,AI,5.2,Bangalore,India,2019
GreenPulse,CleanTech,3.1,Pune,India,2020
FinEdge,FinTech,7.5,Mumbai,India,2018
HealthBridge,HealthTech,4.3,Delhi,India,2021
EduSpark,EdTech,2.8,Hyderabad,India,2020
AgroNext,AgriTech,1.9,Nagpur,India,2019
UrbanCart,E-commerce,6.0,Bangalore,India,2017
CloudZen,Cloud,8.4,Chennai,India,2018
DataQuark,Analytics,3.7,Pune,India,2021
MedGenomeX,Biotech,9.2,Bangalore,India,2016
Startup11,Tech,2.65,Mumbai,India,2016
Startup12,Tech,2.8,Mumbai,India,2017
Startup13,Tech,2.95,Mumbai,India,2018
Startup14,Tech,3.1,Mumbai,India,2019
Startup15,Tech,3.25,Mumbai,India,2020
Startup16,Tech,3.4,Mumbai,India,2021
Startup17,Tech,3.55,Mumbai,India,2022
Startup18,Tech,3.7,Mumbai,India,2023
Startup19,Tech,3.85,Mumbai,India,2024
Startup20,Tech,4.0,Mumbai,India,2015
Startup21,Tech,4.15,Mumbai,India,2016
Startup22,Tech,4.3,Mumbai,India,2017
Startup23,Tech,4.45,Mumbai,India,2018
Startup24,Tech,4.6,Mumbai,India,2019
Startup25,Tech,4.75,Mumbai,India,2020
Startup26,Tech,4.9,Mumbai,India,2021
Startup27,Tech,5.05,Mumbai,India,2022
Startup28,Tech,5.2,Mumbai,India,2023
Startup29,Tech,5.35,Mumbai,India,2024
Startup30,Tech,5.5,Mumbai,India,2015
Startup31,Tech,5.65,Mumbai,India,2016
Startup32,Tech,5.8,Mumbai,India,2017
Startup33,Tech,5.95,Mumbai,India,2018
Startup34,Tech,6.1,Mumbai,India,2019
Startup35,Tech,6.25,Mumbai,India,2020
Startup36,Tech,6.4,Mumbai,India,2021
Startup37,Tech,6.55,Mumbai,India,2022
Startup38,Tech,6.7,Mumbai,India,2023
Startup39,Tech,6.85,Mumbai,India,2024
Startup40,Tech,7.0,Mumbai,India,2015
Startup41,Tech,7.15,Mumbai,India,2016
Startup42,Tech,7.3,Mumbai,India,2017
Startup43,Tech,7.45,Mumbai,India,2018
Startup44,Tech,7.6,Mumbai,India,2019
Startup45,Tech,7.75,Mumbai,India,2020
Startup46,Tech,7.9,Mumbai,India,2021
Startup47,Tech,8.05,Mumbai,India,2022
Startup48,Tech,8.2,Mumbai,India,2023
Startup49,Tech,8.35,Mumbai,India,2024
Startup50,Tech,8.5,Mumbai,India,2015
